movie_id	year	id	character_name	actor_name	actor_imdb	gender	role	importance	seconds
a.boy.named.cha_tt0064107	1969	Charlie_Brown	Charlie_Brown		nm0730435	male	protagonist		2450.98
a.boy.named.cha_tt0064107	1969	Linus_Van_Pelt	Linus_Van_Pelt		nm0318537	male	protagonist		1231.08
a.boy.named.cha_tt0064107	1969	Lucy_Van_Pelt	Lucy_Van_Pelt		nm0272244	female	antagonist		998.22
a.boy.named.cha_tt0064107	1969	Schroeder	Schroeder		nm0679568	male			460.05
a.boy.named.cha_tt0064107	1969	Frieda	Frieda		nm0578883	female			119.08
a.boy.named.cha_tt0064107	1969	Violet_Gray	Violet_Gray		nm0022817	female	antagonist		297.47
a.boy.named.cha_tt0064107	1969	Patty	Patty		nm0238741	female	antagonist		485.49
a.boy.named.cha_tt0064107	1969	Pig_Pen	Pig_Pen		nm0002211	male			36.50
a.boy.named.cha_tt0064107	1969	Sally_Brown	Sally_Brown		nm0838060	unknown			178.39
a.boy.named.cha_tt0064107	1969	Snoopy	Snoopy		nm0006837	male	protagonist		356.32
a.boy.named.cha_tt0064107	1969	3rd_Boy	3rd_Boy		nm0679569	unknown			33.08
a.boy.named.cha_tt0064107	1969	2nd_Boy	2nd_Boy		nm0136931	unknown			13.89
a.bugs.life_tt0120623	1998	Princess_Atta	Princess_Atta		nm0000506	female	protagonist		302.80
a.bugs.life_tt0120623	1998	Dot	Dot		nm0659363	female	protagonist		1062.48
a.bugs.life_tt0120623	1998	Flik	Flik		nm0004929	male	protagonist		108.32
a.bugs.life_tt0120623	1998	Mr._Soil	Mr._Soil		nm0001522	male			792.17
a.bugs.life_tt0120623	1998	Doctor_Flora	Doctor_Flora		nm0566052	female			352.02
a.bugs.life_tt0120623	1998	Cornelius	Cornelius		nm0652250	male			133.26
a.bugs.life_tt0120623	1998	Queen	Queen		nm0226887	female	protagonist		247.71
a.bugs.life_tt0120623	1998	Rosie	Rosie		nm0001372	female			333.33
a.bugs.life_tt0120623	1998	Francis	Francis		nm0001459	male			392.14
a.bugs.life_tt0120623	1998	Loco	Loco			unknown			119.16
a.bugs.life_tt0120623	1998	Axel	Axel		nm0348562	male			147.36
a.bugs.life_tt0120623	1998	Molt	Molt		nm0454236	male	antagonist		115.99
a.bugs.life_tt0120623	1998	P.T._Flea	P.T._Flea		nm0001652	male			51.80
a.bugs.life_tt0120623	1998	Hopper	Hopper		nm0000228	male	antagonist		258.80
a.bugs.life_tt0120623	1998	Harry_Mosquito	Harry_Mosquito		nm0120309	male			26.19
a.bugs.life_tt0120623	1998	Gypsy	Gypsy		nm0001404	female			318.44
a.bugs.life_tt0120623	1998	Dim	Dim		nm0004951	male			103.02
a.bugs.life_tt0120623	1998	Fly_Brother_#1	Fly_Brother_#1			unknown			26.36
a.bugs.life_tt0120623	1998	Thud	Thud		nm0029460	male			27.44
a.bugs.life_tt0120623	1998	Manny	Manny		nm0364893	male			239.91
a.bugs.life_tt0120623	1998	Tuck_and_Roll	Tuck_and_Roll		nm0574540	male			195.45
a.christmas.car_tt1067106	2009	Ebenezer_Scrooge	Ebenezer_Scrooge		nm0000120	male	protagonist		1488.24
a.christmas.car_tt1067106	2009	Funerary_Undertaker	Funerary_Undertaker		nm0884313	male			62.04
a.christmas.car_tt1067106	2009	Undertaker's_Apprentice	Undertaker's_Apprentice		nm0754512	male			60.84
a.christmas.car_tt1067106	2009	Caroline	Caroline		nm0557739	female			38.60
a.christmas.car_tt1067106	2009	Tiny_Tim	Tiny_Tim		nm2452327	male	protagonist		115.08
a.christmas.car_tt1067106	2009	Scrooge_as_a_Teenage_Boy	Scrooge_as_a_Teenage_Boy			unknown			57.76
a.christmas.car_tt1067106	2009	Want_Woman	Want_Woman		nm0719444	unknown			14.32
a.christmas.car_tt1067106	2009	Mrs._Cratchit	Mrs._Cratchit		nm0544334	female			170.16
a.christmas.car_tt1067106	2009	Belinda_Cratchit	Belinda_Cratchit		nm0703939	female			113.24
a.christmas.car_tt1067106	2009	Bob_Cratchit	Bob_Cratchit		nm0000198	male	protagonist		286.76
a.christmas.car_tt1067106	2009	Fred's_Wife	Fred's_Wife		nm0366667	female			39.60
a.christmas.car_tt1067106	2009	Want_Girl	Want_Girl		nm1767820	female			13.28
a.christmas.car_tt1067106	2009	Caroline's_Husband	Caroline's_Husband		nm0089485	male			29.92
a.christmas.car_tt1067106	2009	Portly_Gentleman	Portly_Gentleman		nm0000144	male			83.04
a.christmas.car_tt1067106	2009	Fat_Cook	Fat_Cook		nm0391327	male			6.68
a.christmas.car_tt1067106	2009	Ignorance_Man	Ignorance_Man		nm0398473	unknown			5.84
a.christmas.car_tt1067106	2009	Fred	Fred		nm0000147	male	protagonist		196.00
a.christmas.car_tt1067106	2009	Scrooge_as_a_Young_Man	Scrooge_as_a_Young_Man		nm0000120	male			103.24
a.christmas.car_tt1067106	2009	Fred's_Sister-in-Law	Fred's_Sister-in-Law		nm0055444	female			72.64
a.christmas.car_tt1067106	2009	Scrooge_as_a_Middle-Aged_Man	Scrooge_as_a_Middle-Aged_Man		nm0000120	male			35.44
a.christmas.car_tt1067106	2009	Fezziwig	Fezziwig		nm0001364	male			45.92
a.christmas.car_tt1067106	2009	Business_Man_2	Business_Man_2		nm0085860	male			29.00
a.christmas.car_tt1067106	2009	Jacob_Marley	Jacob_Marley		nm0000198	male	protagonist		157.96
a.christmas.car_tt1067106	2009	Mrs._Fezziwig	Mrs._Fezziwig		nm0055444	female			20.56
a.christmas.car_tt1067106	2009	Ghost_of_Christmas_Past	Ghost_of_Christmas_Past		nm0000120	male	protagonist		192.80
a.christmas.car_tt1067106	2009	Belle	Belle		nm0000705	female			103.08
a.christmas.car_tt1067106	2009	Ghost_of_Christmas_Present	Ghost_of_Christmas_Present		nm0000120	male	protagonist		154.80
a.christmas.car_tt1067106	2009	Ignorance_Boy	Ignorance_Boy		nm2452327	male			9.40
a.christmas.car_tt1067106	2009	Mrs._Dilber	Mrs._Dilber		nm0001217	female			55.68
a.goofy.movie_tt0113198	1995	Max_Goof	Max_Goof		nm0005189	male	protagonist		1862.23
a.goofy.movie_tt0113198	1995	Roxanne	Roxanne		nm0005192	female	protagonist		331.46
a.goofy.movie_tt0113198	1995	Miss_Maples	Miss_Maples		nm0941506	female			63.94
a.goofy.movie_tt0113198	1995	Goofy	Goofy		nm0267724	male	protagonist		1258.05
a.goofy.movie_tt0113198	1995	Goth_Girls	Goth_Girls			unknown			58.47
a.goofy.movie_tt0113198	1995	Powerline	Powerline		nm0004796	male			63.77
a.goofy.movie_tt0113198	1995	Lisa	Lisa		nm0113935	female			53.22
a.goofy.movie_tt0113198	1995	P.J.	P.J.		nm0667326	male	protagonist		197.66
a.goofy.movie_tt0113198	1995	Nerdy_kid	Nerdy_kid			unknown			24.98
a.goofy.movie_tt0113198	1995	Stacey	Stacey		nm0001883	female			75.95
a.goofy.movie_tt0113198	1995	Bobby_Zimuruski	Bobby_Zimuruski			male	protagonist		145.19
a.goofy.movie_tt0113198	1995	Bigfoot	Bigfoot		nm0919798	male	antagonist		69.69
a.goofy.movie_tt0113198	1995	Pete	Pete		nm0191906	male	antagonist		230.90
a.goofy.movie_tt0113198	1995	Roxanne's_Father	Roxanne's_Father			male			12.05
a.goofy.movie_tt0113198	1995	Lester_the_Possum	Lester_the_Possum		nm0510674	male			24.86
abominable_tt6324278	2019	Dr._Zara	Dr._Zara		nm0005299	female	antagonist		379.09
abominable_tt6324278	2019	Teenage_Girl_#2	Teenage_Girl_#2		nm3174887	unknown			35.04
abominable_tt6324278	2019	Mei	Mei		nm2800003	female			134.26
abominable_tt6324278	2019	Teenage_Girl_#1	Teenage_Girl_#1		nm2374936	unknown			49.59
abominable_tt6324278	2019	Goon_Leader	Goon_Leader		nm0226206	unknown	antagonist		242.20
abominable_tt6324278	2019	Everest	Everest		nm1660488	male	protagonist		931.93
abominable_tt6324278	2019	Peng	Peng		nm5294965	male	protagonist		808.85
abominable_tt6324278	2019	Van_Driver	Van_Driver		nm0222175	male			33.70
abominable_tt6324278	2019	Female_Customer	Female_Customer		nm2374936	unknown			32.12
abominable_tt6324278	2019	Merchant	Merchant		nm0157312	male			5.92
abominable_tt6324278	2019	Jin	Jin		nm5529735	male	protagonist		976.44
abominable_tt6324278	2019	Nai_Nai	Nai_Nai		nm0157796	female			150.86
abominable_tt6324278	2019	Yi	Yi		nm4032297	female	protagonist		1782.20
abominable_tt6324278	2019	Boy's_Mom	Boy's_Mom		nm2374936	unknown			6.92
abominable_tt6324278	2019	Dock_Worker	Dock_Worker		nm0401235	female			2.42
abominable_tt6324278	2019	Teenage_Boy	Teenage_Boy		nm3419526	unknown			30.61
abominable_tt6324278	2019	Burnish	Burnish		nm0412850	male	antagonist		317.11
abominable_tt6324278	2019	Goons	Goons		nm0659004	unknown			74.28
abominable_tt6324278	2019	Jin_Impersonator	Jin_Impersonator		nm0152059	male			5.09
abominable_tt6324278	2019	Yak_Herder	Yak_Herder		nm0393222	male			11.51
addams.family.2_tt11125620	2021	Dorky_Girl	Dorky_Girl		nm2236836	female			4.80
addams.family.2_tt11125620	2021	Cyrus_Strange	Cyrus_Strange		nm0352778	male	antagonist		433.06
addams.family.2_tt11125620	2021	Dorky_Boy	Dorky_Boy		nm4232585	male			38.37
addams.family.2_tt11125620	2021	Girl_on_Beach	Girl_on_Beach		nm2236836	female			107.23
addams.family.2_tt11125620	2021	Proposing_Girl	Proposing_Girl		nm2010454	unknown			17.39
addams.family.2_tt11125620	2021	Girl_in_Water	Girl_in_Water		nm1057696	female			28.03
addams.family.2_tt11125620	2021	Gomez_Addams	Gomez_Addams		nm1209966	male	protagonist		979.89
addams.family.2_tt11125620	2021	Pugsley_Addams	Pugsley_Addams		nm9937520	male	protagonist		450.49
addams.family.2_tt11125620	2021	Texas_Lady	Texas_Lady		nm4171388	female			39.00
addams.family.2_tt11125620	2021	Morticia_Addams	Morticia_Addams		nm0000234	female	protagonist		858.61
addams.family.2_tt11125620	2021	Book_Girl	Book_Girl		nm0695497	female			69.69
addams.family.2_tt11125620	2021	Jerk_on_Beach	Jerk_on_Beach		nm2010454	unknown			40.00
addams.family.2_tt11125620	2021	Peggy	Peggy		nm0695497	female			84.13
addams.family.2_tt11125620	2021	Volcano_Kid	Volcano_Kid		nm0695497	female			55.39
addams.family.2_tt11125620	2021	Miss_Lurleen	Miss_Lurleen		nm4171388	female			45.30
addams.family.2_tt11125620	2021	Pageant_Lady	Pageant_Lady		nm4171388	female			49.05
addams.family.2_tt11125620	2021	Festival_Kids	Festival_Kids			unknown			64.52
addams.family.2_tt11125620	2021	Wednesday_Addams	Wednesday_Addams		nm1631269	female	protagonist		973.85
addams.family.2_tt11125620	2021	Uncle_Fester	Uncle_Fester		nm1802209	male	protagonist		463.50
addams.family.2_tt11125620	2021	Ophelia	Ophelia		nm0473873	female			81.33
addams.family.2_tt11125620	2021	Madison	Madison		nm2236836	female			13.68
addams.family.2_tt11125620	2021	Granny	Granny		nm0000541	female			95.14
addams.family.2_tt11125620	2021	Lurch	Lurch		nm0970447	male	protagonist		254.09
addams.family.2_tt11125620	2021	Mr._Mustela	Mr._Mustela		nm0001728	male	antagonist		77.49
addams.family.2_tt11125620	2021	Pongo	Pongo		nm0263252	unknown	antagonist		62.60
addams.family.2_tt11125620	2021	Corny_Girl	Corny_Girl		nm12986287	unknown			29.32
addams.family.2_tt11125620	2021	Merch_Guy	Merch_Guy		nm4056962	unknown			12.01
