movie_id	imdb_id	movie_name	imdb_date	production_companies	franchise	% screentime, female (all)	% screentime, female (human)	% screentime, female (animal/other)
snow.white.and._tt0029583	tt0029583	Snow White and the Seven Dwarfs	1937	Walt Disney Animation Studios; Walt Disney Productions	Snow White	26.99	26.50	100.00
gullivers.trave_tt0031397	tt0031397	Gulliver's Travels	1939	Fleischer Studios	Gulliver's Travels	0.00	0.00	
fantasia_tt0032455	tt0032455	Fantasia	1940	Walt Disney Animation Studios; Walt Disney Productions	Disney	0.00		0.00
pinocchio_tt0032910	tt0032910	Pinocchio	1940	Walt Disney Animation Studios; Walt Disney Productions	Pinocchio	4.29	3.86	4.80
bambi_tt0034492	tt0034492	Bambi	1942	Walt Disney Productions; Walt Disney Animation Studios	Bambi	13.05		13.05
cinderella_tt0042332	tt0042332	Cinderella	1950	Walt Disney Animation Studios; Walt Disney Productions	Cinderella	39.56	64.98	11.12
alice.in.wonder_tt0043274	tt0043274	Alice in Wonderland	1951	Walt Disney Animation Studios; Walt Disney Productions	Alice in Wonderland	53.90	79.16	6.95
lady.and.the.tr_tt0048280	tt0048280	Lady and the Tramp	1955	Walt Disney Animation Studios; Walt Disney Productions	Lady and the Tramp	42.44	5.38	44.30
sleeping.beauty_tt0053285	tt0053285	Sleeping Beauty	1959	Walt Disney Animation Studios; Walt Disney Productions	Sleeping Beauty	67.90	71.42	0.00
one.hundred.and_tt0055254	tt0055254	One Hundred and One Dalmatians	1961	Walt Disney Animation Studios; Walt Disney Productions	101 Dalmatians	33.37	42.27	28.11
sword.in.the.st_tt0057546	tt0057546	The Sword in the Stone	1963	Walt Disney Animation Studios; Walt Disney Productions	Sword in the Stone	18.19	10.24	41.24
jungle.book_tt0061852	tt0061852	The Jungle Book	1967	Walt Disney Animation Studios; Walt Disney Productions	Jungle Book	2.76	4.08	2.27
a.boy.named.cha_tt0064107	tt0064107	A Boy Named Charlie Brown	1969	Cinema Center Films; Lee Mendelson Film Productions; Bill Melendez Productions	Peanuts	29.53	31.26	0.00
bedknobs.and.br_tt0066817	tt0066817	Bedknobs and Broomsticks	1971	Walt Disney Productions		0.00		0.00
robin.hood_tt0070608	tt0070608	Robin Hood	1973	Walt Disney Animation Studios; Walt Disney Productions	Robin Hood	18.82		18.82
petes.dragon_tt0076538	tt0076538	Pete's Dragon	1977	Walt Disney Productions	Pete's Dragon	0.00		0.00
rescuers_tt0076618	tt0076618	The Rescuers	1977	Walt Disney Animation Studios; Walt Disney Productions	Rescuers	48.17	66.89	44.87
lord.of.the.rin_tt0077869	tt0077869	The Lord of the Rings	1978	Fantasy Films; Bakshi Productions; Saul Zaentz Film Productions	Lord of the Rings	1.83	1.93	0.00
fox.and.the.hou_tt0082406	tt0082406	The Fox and the Hound	1981	Walt Disney Animation Studios; Walt Disney Productions	Fox and the Hound	23.22	52.39	17.86
black.cauldron_tt0088814	tt0088814	The Black Cauldron	1985	Walt Disney Pictures; Silver Screen Partners II; Walt Disney Animation Studios		22.20	25.58	12.00
care.bears.movi_tt0088885	tt0088885	The Care Bears Movie	1985	Nelvana; American Greetings Corporation; General Mills	Care Bears	46.77	32.33	53.53
an.american.tai_tt0090633	tt0090633	An American Tail	1986	Universal Pictures; Amblin Entertainment; Sullivan Studios	An American Tail	22.88		22.88
great.mouse.det_tt0091149	tt0091149	The Great Mouse Detective	1986	Walt Disney Pictures; Silver Screen Partners II; Walt Disney Animation Studios	Great Mouse Detective	20.97		20.97
land.before.tim_tt0095489	tt0095489	The Land Before Time	1988	Universal Pictures; Amblin Entertainment; Sullivan Bluth Studios	Land Before Time	52.54		52.54
oliver..company_tt0095776	tt0095776	Oliver & Company	1988	Walt Disney Pictures; Silver Screen Partners III; Walt Disney Animation Studios	Oliver and Company	25.35	37.52	21.87
