movie_id	imdb_id	movie_name	imdb_date	production_companies	franchise
snow.white.and._tt0029583	tt0029583	Snow White and the Seven Dwarfs	1937	Walt Disney Animation Studios; Walt Disney Productions	Snow White
gullivers.trave_tt0031397	tt0031397	Gulliver's Travels	1939	Fleischer Studios	Gulliver's Travels
fantasia_tt0032455	tt0032455	Fantasia	1940	Walt Disney Animation Studios; Walt Disney Productions	Disney
pinocchio_tt0032910	tt0032910	Pinocchio	1940	Walt Disney Animation Studios; Walt Disney Productions	Pinocchio
bambi_tt0034492	tt0034492	Bambi	1942	Walt Disney Productions; Walt Disney Animation Studios	Bambi
cinderella_tt0042332	tt0042332	Cinderella	1950	Walt Disney Animation Studios; Walt Disney Productions	Cinderella
alice.in.wonder_tt0043274	tt0043274	Alice in Wonderland	1951	Walt Disney Animation Studios; Walt Disney Productions	Alice in Wonderland
lady.and.the.tr_tt0048280	tt0048280	Lady and the Tramp	1955	Walt Disney Animation Studios; Walt Disney Productions	Lady and the Tramp
sleeping.beauty_tt0053285	tt0053285	Sleeping Beauty	1959	Walt Disney Animation Studios; Walt Disney Productions	Sleeping Beauty
one.hundred.and_tt0055254	tt0055254	One Hundred and One Dalmatians	1961	Walt Disney Animation Studios; Walt Disney Productions	101 Dalmatians
sword.in.the.st_tt0057546	tt0057546	The Sword in the Stone	1963	Walt Disney Animation Studios; Walt Disney Productions	Sword in the Stone
jungle.book_tt0061852	tt0061852	The Jungle Book	1967	Walt Disney Animation Studios; Walt Disney Productions	Jungle Book
a.boy.named.cha_tt0064107	tt0064107	A Boy Named Charlie Brown	1969	Cinema Center Films; Lee Mendelson Film Productions; Bill Melendez Productions	Peanuts
bedknobs.and.br_tt0066817	tt0066817	Bedknobs and Broomsticks	1971	Walt Disney Productions	
robin.hood_tt0070608	tt0070608	Robin Hood	1973	Walt Disney Animation Studios; Walt Disney Productions	Robin Hood
petes.dragon_tt0076538	tt0076538	Pete's Dragon	1977	Walt Disney Productions	Pete's Dragon
rescuers_tt0076618	tt0076618	The Rescuers	1977	Walt Disney Animation Studios; Walt Disney Productions	Rescuers
lord.of.the.rin_tt0077869	tt0077869	The Lord of the Rings	1978	Fantasy Films; Bakshi Productions; Saul Zaentz Film Productions	Lord of the Rings
fox.and.the.hou_tt0082406	tt0082406	The Fox and the Hound	1981	Walt Disney Animation Studios; Walt Disney Productions	Fox and the Hound
black.cauldron_tt0088814	tt0088814	The Black Cauldron	1985	Walt Disney Pictures; Silver Screen Partners II; Walt Disney Animation Studios	
care.bears.movi_tt0088885	tt0088885	The Care Bears Movie	1985	Nelvana; American Greetings Corporation; General Mills	Care Bears
an.american.tai_tt0090633	tt0090633	An American Tail	1986	Universal Pictures; Amblin Entertainment; Sullivan Studios	An American Tail
great.mouse.det_tt0091149	tt0091149	The Great Mouse Detective	1986	Walt Disney Pictures; Silver Screen Partners II; Walt Disney Animation Studios	Great Mouse Detective
land.before.tim_tt0095489	tt0095489	The Land Before Time	1988	Universal Pictures; Amblin Entertainment; Sullivan Bluth Studios	Land Before Time
oliver..company_tt0095776	tt0095776	Oliver & Company	1988	Walt Disney Pictures; Silver Screen Partners III; Walt Disney Animation Studios	Oliver and Company
who.framed.roge_tt0096438	tt0096438	Who Framed Roger Rabbit	1988	Touchstone Pictures; Amblin Entertainment; Silver Screen Partners III	Roger Rabbit
little.mermaid_tt0097757	tt0097757	The Little Mermaid	1989	Walt Disney Pictures; Silver Screen Partners IV; Walt Disney Animation Studios	Little Mermaid
beauty.and.the._tt0101414	tt0101414	Beauty and the Beast	1991	Walt Disney Pictures; Silver Screen Partners IV; Walt Disney Animation Studios	Beauty and the Beast
