movie_id	year	ratio_all	ratio_fem	ratio_all_human	ratio_fem_human
a.boy.named.cha_tt0064107	1969	0.234921	0.578125	0.234921	0.578125
a.bugs.life_tt0120623	1998	0.331194	0.518593	0.000000	
a.christmas.car_tt1067106	2009	0.078431	0.452830	0.078431	0.452830
a.goofy.movie_tt0113198	1995	0.067613	0.320158	0.000000	
abominable_tt6324278	2019	0.086401	0.115230	0.086401	0.115230
addams.family.2_tt11125620	2021	0.284660	0.418577	0.284660	0.418577
addams.family_tt1620981	2019	0.402202	0.587871	0.402202	0.587871
aladdin_tt0103639	1992	0.013120	0.041570	0.013120	0.041570
alice.in.wonder_tt0043274	1951	0.125000	0.173709	0.104730	0.145882
alvin.and.the.c_tt0952640	2007	0.000000		0.000000	
alvin.and.the.c_tt1231580	2009	0.181388	0.703364	0.000000	
alvin.and.the.c_tt1615918	2011	0.263158	0.590015	0.000000	
an.american.tai_tt0090633	1986	0.111511	0.293375	0.000000	
anastasia_tt0118617	1997	0.183046	0.285047	0.183046	0.285047
angry.birds.mov_tt1985949	2016	0.210250	0.507736	0.000000	
antz_tt0120587	1998	0.123784	0.246046	0.000000	
atlantis.the.lo_tt0230011	2001	0.096041	0.209265	0.096041	0.209265
bad.guys.2_tt30017619	2025	0.134973	0.258621	0.011998	0.089286
bad.guys_tt8115900	2022	0.076046	0.182927	0.000000	
bambi_tt0034492	1942	0.080617	0.267045	0.000000	
barnyard_tt0414853	2006	0.104184	0.282851	0.006563	0.163265
beauty.and.the._tt0101414	1991	0.083596	0.146611	0.023659	0.049505
beavis.and.butt_tt0115641	1996	0.034703	0.122977	0.034703	0.122977
bedknobs.and.br_tt0066817	1971	0.000000		0.000000	
bee.movie_tt0389790	2007	0.106352	0.218513	0.047267	0.131959
beowulf_tt0442933	2007	0.077751	0.213816	0.077751	0.213816
big.hero.6_tt2245084	2014	0.133595	0.392308	0.133595	0.392308
black.cauldron_tt0088814	1985	0.058380	0.151589	0.048964	0.134715
bobs.burgers.mo_tt7466442	2022	0.474156	0.588537	0.474156	0.588537
bolt_tt0397892	2008	0.069514	0.115760	0.052764	0.189189
boss.baby.2.fam_tt6932874	2021	0.278550	0.435728	0.278550	0.435728
boss.baby_tt3874544	2017	0.027253	0.119804	0.027253	0.119804
brave_tt1217209	2012	0.408219	0.489327	0.235616	0.298094
brother.bear_tt0328880	2003	0.006200	0.072165	0.000000	0.000000
captain.underpa_tt2091256	2017	0.068412	0.284211	0.068412	0.284211
care.bears.movi_tt0088885	1985	0.444641	0.637056	0.007086	0.022346
cars.2_tt1216475	2011	0.114255	0.303468	0.000000	
cars.3_tt3606752	2017	0.117907	0.197884	0.000000	
cars_tt0317219	2006	0.152934	0.328859	0.000000	
chicken.little_tt0371606	2005	0.019520	0.058427	0.000000	
chicken.run_tt0120630	2000	0.307398	0.414802	0.000000	0.000000
cinderella_tt0042332	1950	0.256318	0.474124	0.169675	0.373016
cloudy.with.a.c_tt0844471	2009	0.132225	0.276033	0.132225	0.276033
cloudy.with.a.c_tt1985966	2013	0.078089	0.167208	0.021228	0.057377
