movie_id	year	ratio_all	ratio_fem	ratio_all_human	ratio_fem_human
10.cloverfield._tt1179933	2016	0.005017	0.007722	0.005017	0.007722
10.things.i.hat_tt0147800	1999	0.215294	0.307563	0.215294	0.307563
101_dalmations	1996	0.091983	0.289062	0.091983	0.289062
102.dalmatians_tt0211181	2000	0.064950	0.139975	0.064950	0.139975
12.years.a.slav_tt2024544		0.000000		0.000000	
127.hours_tt1542344		0.000000		0.000000	
12_monkeys	1996	0.032950	0.080224	0.032950	0.080224
13.going.on.30_tt0337563	2004	0.439490	0.468932	0.439490	0.468932
1408_tt0450385	2007	0.007425	0.074419	0.007425	0.074419
17.again_tt0974661	2009	0.110341	0.235763	0.110341	0.235763
1917	2020	0.000000		0.000000	
2.guns_tt1272878	2013	0.000000	0.000000	0.000000	0.000000
2010.the.year.w_tt0086837	1984	0.001543	0.006390	0.001543	0.006390
2012m	2009	0.052360	0.179067	0.052360	0.179067
21_jump_street	2012	0.024450	0.110294	0.024450	0.110294
21_tt0478087	2008	0.074116	0.205696	0.074116	0.205696
22_jump_street	2014	0.020116	0.125000	0.020116	0.125000
27.dresses_tt0988595	2008	0.319825	0.362288	0.319825	0.362288
28.years.later_tt10548174	2025	0.000000	0.000000	0.000000	0.000000
2_fast_2_furious_fs	2003	0.003119	0.020779	0.003119	0.020779
3.ninjas_tt0103596	1992	0.001862	0.046875	0.001862	0.046875
300	2007	0.000000	0.000000	0.000000	0.000000
300_rise_of_an_empire	2014	0.000000	0.000000	0.000000	0.000000
310.to.yuma_tt0381849	2007	0.014408	0.051233	0.014408	0.051233
355_tt8356942	2022	0.290490	0.384275	0.290490	0.384275
40_year_old_virgin	2005	0.060490	0.133574	0.060490	0.133574
42_tt0453562	2013	0.012162	0.093264	0.012162	0.093264
48_hours	1983	0.010726	0.062500	0.010726	0.062500
500.days.of.sum_tt1022603		0.000000		0.000000	
5050_tt1306980		0.000000		0.000000	
50_first_dates	2004	0.037177	0.072215	0.037177	0.072215
8_below	2006	0.007893	0.048148	0.007893	0.048148
8_mile	2002	0.011583	0.053435	0.011583	0.053435
8mm_tt0134273	1999	0.001894	0.015038	0.001894	0.015038
a.bad.moms.chri_tt6359956	2017	0.581292	0.653317	0.581292	0.653317
a.beautiful.day_tt3224458	2020	0.056180	0.148026	0.056180	0.148026
a.chorus.line_tt0088915		0.000000		0.000000	
a.christmas.sto_tt0085334	1983	0.000000	0.000000	0.000000	0.000000
a.civil.action_tt0120633	1999	0.006770	0.051852	0.006770	0.051852
a.cry.in.the.da_tt0094924		0.000000		0.000000	
a.dogs.purpose_tt1753383	2017	0.020870	0.077754	0.020870	0.077754
a.good.day.to.d_tt1606378	2013	0.000000	0.000000	0.000000	0.000000
a.history.of.vi_tt0399146		0.000000		0.000000	
a.knights.tale_tt0183790	2001	0.073484	0.248264	0.073484	0.248264
a.little.prince_tt0113670		0.000000		0.000000	
a.low.down.dirt_tt0110399	1994	0.028676	0.072897	0.028676	0.072897
a.madea.family._tt7054636	2019	0.305748	0.438210	0.305748	0.438210
a.man.called.ot_tt7405458	2023	0.016746	0.042857	0.016746	0.042857
a.nightmare.on._tt0087800	1985	0.176644	0.240964	0.176644	0.240964
a.nightmare.on._tt0097981	1989	0.113865	0.237480	0.113865	0.237480
a.nightmare.on._tt1179056	2010	0.049790	0.096176	0.049790	0.096176
a.passage.to.in_tt0087892	1985	0.083271	0.170992	0.083271	0.170992
a.private.funct_tt0089838		0.000000		0.000000	
a.quiet.place.p_tt8332922	2021	0.097500	0.163522	0.097500	0.163522
a.river.runs.th_tt0105265	1992	0.023810	0.097923	0.023810	0.097923
a.room.with.a.v_tt0091867	1987	0.279441	0.403458	0.279441	0.403458
a.separation_tt1832382		0.000000		0.000000	
a.serious.man_tt1019452		0.000000		0.000000	
a.soldiers.stor_tt0088146	1984	0.000000	0.000000	0.000000	0.000000
a.sunday.in.the_tt0088318		0.000000		0.000000	
a.thin.line.bet_tt0117891	1996	0.056399	0.090592	0.056399	0.090592
a.walk.in.the.c_tt0114887	1995	0.102916	0.190779	0.102916	0.190779
a.world.apart_tt0096464		0.000000		0.000000	
a.wrinkle.in.ti_tt1620680	2018	0.201180	0.296780	0.201180	0.296780
about.a.boy_tt0276751	2002	0.054167	0.126418	0.054167	0.126418
about.schmidt_tt0257360	2003	0.019255	0.047022	0.019255	0.047022
about_last_night	1986	0.209573	0.279310	0.209573	0.279310
absence_of_malice	1982	0.025545	0.049635	0.025545	0.049635
absolute.power_tt0118548	1997	0.007321	0.018149	0.007321	0.018149
abyss	1989	0.036025	0.098305	0.036025	0.098305
accidental.tour_tt0094606	1989	0.007702	0.019108	0.007702	0.019108
accountant.2_tt7068946	2025	0.013451	0.045217	0.013451	0.045217
accountant_tt2140479	2016	0.007471	0.020378	0.007471	0.020378
accused_tt0094608	1988	0.325135	0.418812	0.325135	0.418812
ace.ventura.when.nature.calls_tt0112281	1995	0.000000	0.000000	0.000000	0.000000
ace_ventura	1994	0.011044	0.029730	0.011044	0.029730
across.the.univ_tt0445922		0.000000		0.000000	
act.of.valor_tt1591479	2012	0.000000	0.000000	0.000000	0.000000
action.jackson_tt0094612	1988	0.000000	0.000000	0.000000	0.000000
ad.astra_tt2935510	2019	0.000879	0.006329	0.000879	0.006329
adaptation._tt0268126		0.000000		0.000000	
addams.family.v_tt0106220	1993	0.227407	0.364176	0.227407	0.364176
addams_family	1991	0.153894	0.284235	0.153894	0.284235
adjustment.bure_tt1385826	2011	0.015094	0.044248	0.015094	0.044248
adventures.in.b_tt0092513	1987	0.145648	0.221223	0.145648	0.221223
adventures.of.p_tt0109045		0.000000		0.000000	
affliction_tt0118564		0.000000		0.000000	
against.all.odd_tt0086859	1984	0.013798	0.036468	0.013798	0.036468
age.of.innocenc_tt0106226	1993	0.126336	0.179806	0.126336	0.179806
agnes.of.god_tt0088683	1985	0.550287	0.609873	0.550287	0.609873
air.america_tt0099005	1990	0.000000	0.000000	0.000000	0.000000
air.jordan_tt16419074	2023	0.002695	0.020513	0.002695	0.020513
air_force_one_fs	1997	0.057377	0.195699	0.057377	0.195699
airplane.ii.the_tt0083530	1982	0.068241	0.160494	0.068241	0.160494
airplane_tt0080339		0.000000		0.000000	
aladdin	2019	0.059624	0.171068	0.059624	0.171068
alexander.and.t_tt1698641	2014	0.210690	0.326590	0.210690	0.326590
alice.through.t_tt2567026	2016	0.171802	0.261400	0.171802	0.261400
alice_in_wonderland	2010	0.173209	0.263433	0.173209	0.263433
alien._tt18412256	2024	0.009920	0.033762	0.009920	0.033762
alien.covenant_tt2316204	2017	0.044345	0.124650	0.044345	0.124650
alien.nation_tt0094631	1988	0.000000	0.000000	0.000000	0.000000
alien.resurrect_tt0118583	1997	0.117610	0.236842	0.117610	0.236842
alien.vs..preda_tt0370263	2004	0.005997	0.016529	0.005997	0.016529
alien_2	1986	0.133363	0.237868	0.133363	0.237868
alien_3	1992	0.000000	0.000000	0.000000	0.000000
alita.battle.an_tt0437086	2019	0.047964	0.081853	0.047964	0.081853
alive_tt0106246	1993	0.009718	0.113636	0.009718	0.113636
all.night.long_tt0082001	1981	0.078550	0.129032	0.078550	0.129032
all.quiet.on.th_tt1016150		0.000000		0.000000	
all.the.right.m_tt0085154	1983	0.000000	0.000000	0.000000	0.000000
all_of_me_fs	1984	0.066602	0.123435	0.066602	0.123435
allegiant_tt3410834	2016	0.160966	0.231660	0.160966	0.231660
almost.famous_tt0181875		0.000000		0.000000	
along.came.a.sp_tt0164334	2001	0.072741	0.139241	0.072741	0.139241
along_came_polly_fs	2004	0.074912	0.147222	0.074912	0.147222
altered_states	1980	0.000000	0.000000	0.000000	0.000000
always_tt0096794	1990	0.000000	0.000000	0.000000	0.000000
amadeus_tt0086879	1985	0.027833	0.109162	0.027833	0.109162
amazing_spiderman	2012	0.008533	0.042000	0.008533	0.042000
amazing_spiderman_2	2014	0.010817	0.048301	0.010817	0.048301
ambulance_tt4998632	2022	0.007973	0.042328	0.007973	0.042328
american.hustle_tt1800241	2014	0.058565	0.107527	0.058565	0.107527
american.made_tt3532216	2017	0.013464	0.093617	0.013464	0.093617
american.pie.2_tt0252866	2001	0.100962	0.221636	0.100962	0.221636
american.presid_tt0112346	1995	0.153218	0.242468	0.153218	0.242468
american.reunio_tt1605630	2012	0.057294	0.131347	0.057294	0.131347
american.splend_tt0305206		0.000000		0.000000	
american.underd_tt11729298	2022	0.019988	0.065606	0.019988	0.065606
american_beauty	2000	0.171906	0.285948	0.171906	0.285948
american_gangster	2007	0.028822	0.186992	0.028822	0.186992
american_gigolo	1980	0.023734	0.061983	0.023734	0.061983
american_pie	1999	0.094313	0.181575	0.094313	0.181575
american_sniper	2015	0.000475	0.003106	0.000475	0.003106
american_wedding	2003	0.151055	0.296248	0.151055	0.296248
american_werewolf_in_london	1981	0.000000	0.000000	0.000000	0.000000
americas_sweethearts	2001	0.181425	0.304716	0.181425	0.304716
amistad_tt0118607		0.000000		0.000000	
amityville.horr_tt0384806	2005	0.059459	0.134146	0.059459	0.134146
amlie_tt0211915		0.000000		0.000000	
amour_tt1602620		0.000000		0.000000	
amsterdam_tt10304142	2022	0.088479	0.155134	0.088479	0.155134
an.education_tt1174732		0.000000		0.000000	
anaconda	1997	0.045839	0.107261	0.045839	0.107261
analyze_this	1999	0.011532	0.084848	0.011532	0.084848
anchorman.2.the_tt1229340	2013	0.032333	0.082742	0.032333	0.082742
anchorman_fs	2004	0.023198	0.060215	0.023198	0.060215
angel.has.falle_tt6189022	2019	0.009188	0.069091	0.009188	0.069091
angels.in.the.o_tt0109127	1994	0.000000	0.000000	0.000000	0.000000
angels_and_demons	2009	0.008084	0.027375	0.008084	0.027375
anger_management	2003	0.041248	0.172566	0.041248	0.172566
animal_tt0255798	2001	0.001308	0.005797	0.001308	0.005797
annabelle.comes_tt8350360	2019	0.388476	0.456332	0.388476	0.456332
annabelle.creat_tt5140878	2017	0.292768	0.382033	0.292768	0.382033
annabelle_tt3322940	2014	0.112047	0.158145	0.112047	0.158145
annie_fs	1982	0.435897	0.521168	0.435897	0.521168
annie_tt1823664	2014	0.302439	0.378759	0.302439	0.378759
another_48_hrs	1990	0.006110	0.059406	0.006110	0.059406
ant_man_and_the_wasp	2018	0.039695	0.099048	0.039695	0.099048
antlers_tt7740510	2021	0.034247	0.071429	0.034247	0.071429
antman	2015	0.005863	0.025090	0.005863	0.025090
antman.quantumania_tt10954600	2023	0.088906	0.187755	0.088906	0.187755
any_which_way_you_can	1980	0.067480	0.155629	0.067480	0.155629
anyone.but.you_tt26047818	2024	0.238866	0.352690	0.238866	0.352690
apollo13	1995	0.033455	0.228216	0.033455	0.228216
aquaman	2019	0.006903	0.027350	0.006903	0.027350
aquaman.and.the_tt9663764	2024	0.005505	0.046875	0.005505	0.046875
arachnophobia	1990	0.013333	0.076023	0.013333	0.076023
are.we.done.yet_tt0422774	2007	0.088667	0.205442	0.088667	0.205442
are_we_there_yet	2005	0.036199	0.076923	0.036199	0.076923
argo	2012	0.043235	0.182796	0.043235	0.182796
armageddon	1998	0.001708	0.015957	0.001708	0.015957
arrival	2016	0.029923	0.058161	0.029923	0.058161
arthur_full	1982	0.073353	0.133880	0.073353	0.133880
artificial_intelligence_fs	2001	0.020513	0.062500	0.020513	0.062500
artist_tt1655442		0.000000		0.000000	
