movie_id	character_name	actor_imdb	role	importance
tt0076759	Luke Skywalker	nm0000434	protagonist	major
tt0076759	Princess Leia Organa	nm0000402	protagonist	major
tt0076759	Han Solo	nm0000148	protagonist	major
tt0076759	Ben Obi-Wan Kenobi	nm0000027	protagonist	major
tt0076759	C-3PO	nm0000355	protagonist	minor
tt0076759	R2-D2	nm0048652	protagonist	minor
tt0076759	Chewbacca	nm0562679	protagonist	minor
tt0076759	Darth Vader	nm0001190	antagonist	major
tt0076759	Grand Moff Tarkin	nm0001088	antagonist	major
tt0079417	Ted Kramer	nm0000163	protagonist	major
tt0079417	Billy Kramer	nm0377888	protagonist	major
tt0079417	Joanna Kramer	nm0000658	antagonist	major
tt0080319	Judy Bernly	nm0000404	protagonist	major
tt0080319	Violet Newstead	nm0005499	protagonist	major
tt0080319	Doralee Rhodes	nm0000573	protagonist	major
tt0080319	Franklin Hart, Jr.	nm0001056	antagonist	major
tt0080319	Roz	nm0933361	antagonist	minor
tt0080360	Eddie Jessup	nm0000458	protagonist	major
tt0080360	Emily Jessup	nm0001974	protagonist	minor
tt0080365	Julian	nm0000152	protagonist	major
tt0080365	Michelle	nm0001381	protagonist	major
tt0080365	Leon	nm0004886	antagonist	major
tt0080365	Mr. Rheiman	nm0829872	antagonist	major
tt0080365	Sunday	nm0001185	antagonist	minor
tt0080377	Philo Beddoe	nm0000142	protagonist	major
tt0080377	Lynn Halsey-Taylor	nm0516800	protagonist	minor
tt0080377	Orville	nm0507212	protagonist	minor
tt0080377	James Beekman	nm0345340	antagonist	major
tt0080402	Prof. Matthew Corbeck	nm0000032	protagonist	major
tt0080402	Jane Turner	nm0948772	protagonist	minor
tt0080402	Margaret Corbeck	nm0000258	antagonist	major
tt0080436	Jerry Kwan	nm0000329	protagonist	major
tt0080436	Dominici	nm0001207	antagonist	major
tt0080436	Kiss	nm0353637	antagonist	minor
tt0080455	Joliet Jake Blues	nm0000004	protagonist	major
tt0080455	Elwood Blues	nm0000101	protagonist	major
tt0080455	Mystery Woman	nm0000402	antagonist	major
tt0080455	Head Nazi	nm0002099	antagonist	minor
tt0080472	Bronco Billy	nm0000142	protagonist	major
tt0080472	Antoinette Lily	nm0516800	protagonist	major
tt0080472	Irene Lily	nm0571979	antagonist	minor
tt0080472	Edgar Lipton	nm0697733	antagonist	minor
tt0080472	John Arlington	nm0507212	antagonist	minor
tt0080472	Sheriff Dix	nm0055812	antagonist	minor
