movie_id	movie_imdb	actor_imdb	seconds
10.cloverfield._tt1179933	tt1179933	nm0935541	1864.82
10.cloverfield._tt1179933	tt1179933	nm0000422	1063.85
10.cloverfield._tt1179933	tt1179933	nm0302330	901.36
10.cloverfield._tt1179933	tt1179933	nm0190550	24.44
10.things.i.hat_tt0147800	tt0147800	nm0005466	1414.79
10.things.i.hat_tt0147800	tt0147800	nm0330687	973.64
10.things.i.hat_tt0147800	tt0147800	nm0005049	129.00
10.things.i.hat_tt0147800	tt0147800	nm0005132	994.70
10.things.i.hat_tt0147800	tt0147800	nm0472710	731.81
10.things.i.hat_tt0147800	tt0147800	nm0262521	0.21
10.things.i.hat_tt0147800	tt0147800	nm1132744	13.14
10.things.i.hat_tt0147800	tt0147800	nm3425823	9.84
10.things.i.hat_tt0147800	tt0147800	nm0147472	49.42
10.things.i.hat_tt0147800	tt0147800	nm13272800	9.18
10.things.i.hat_tt0147800	tt0147800	nm0646351	807.22
10.things.i.hat_tt0147800	tt0147800	nm0005517	176.63
10.things.i.hat_tt0147800	tt0147800	nm0005080	508.97
10.things.i.hat_tt0147800	tt0147800	nm0435323	57.97
10.things.i.hat_tt0147800	tt0147800	nm2335353	114.86
10.things.i.hat_tt0147800	tt0147800	nm0593258	112.45
10.things.i.hat_tt0147800	tt0147800	nm0006721	144.14
10.things.i.hat_tt0147800	tt0147800	nm0588777	348.18
10.things.i.hat_tt0147800	tt0147800	nm0125147	11.26
10.things.i.hat_tt0147800	tt0147800	nm0857610	21.77
10.things.i.hat_tt0147800	tt0147800	nm1754224	10.72
10.things.i.hat_tt0147800	tt0147800	nm0360089	23.27
10.things.i.hat_tt0147800	tt0147800	nm1298272	0.75
10.things.i.hat_tt0147800	tt0147800	nm0468014	2.71
10.things.i.hat_tt0147800	tt0147800	nm1162439	4.09
10.things.i.hat_tt0147800	tt0147800	nm0432627	8.17
10.things.i.hat_tt0147800	tt0147800	nm0500601	88.59
101_dalmations	tt0115433	nm0000613	557.96
101_dalmations	tt0115433	nm0135682	10.60
101_dalmations	tt0115433	nm0001099	571.24
101_dalmations	tt0115433	nm0352702	36.08
101_dalmations	tt0115433	nm0919205	27.76
101_dalmations	tt0115433	nm0071007	9.12
101_dalmations	tt0115433	nm0570570	38.72
101_dalmations	tt0115433	nm0000335	418.40
101_dalmations	tt0115433	nm0292140	9.24
101_dalmations	tt0115433	nm0672888	15.36
101_dalmations	tt0115433	nm0676515	21.60
101_dalmations	tt0115433	nm0931247	314.28
101_dalmations	tt0115433	nm0491402	341.56
101_dalmations	tt0115433	nm0795344	31.44
101_dalmations	tt0115433	nm0687506	189.52
101_dalmations	tt0115433	nm0661560	4.04
101_dalmations	tt0115433	nm0829202	7.36
101_dalmations	tt0115433	nm0713942	35.04
101_dalmations	tt0115433	nm2447295	1.92
102.dalmatians_tt0211181	tt0211181	nm0395257	71.32
102.dalmatians_tt0211181	tt0211181	nm0007183	49.38
102.dalmatians_tt0211181	tt0211181	nm0000335	800.55
102.dalmatians_tt0211181	tt0211181	nm0922367	18.44
102.dalmatians_tt0211181	tt0211181	nm0534315	85.88
102.dalmatians_tt0211181	tt0211181	nm0914741	12.93
102.dalmatians_tt0211181	tt0211181	nm0570570	421.88
102.dalmatians_tt0211181	tt0211181	nm0262521	933.72
102.dalmatians_tt0211181	tt0211181	nm0174005	137.10
102.dalmatians_tt0211181	tt0211181	nm0344435	776.19
102.dalmatians_tt0211181	tt0211181	nm3425823	2.79
102.dalmatians_tt0211181	tt0211181	nm0177267	42.17
102.dalmatians_tt0211181	tt0211181	nm2222462	4.05
102.dalmatians_tt0211181	tt0211181	nm0299412	6.46
102.dalmatians_tt0211181	tt0211181	nm0883919	18.64
102.dalmatians_tt0211181	tt0211181	nm8868388	1.75
102.dalmatians_tt0211181	tt0211181	nm0000367	307.18
102.dalmatians_tt0211181	tt0211181	nm1072611	0.83
102.dalmatians_tt0211181	tt0211181	nm0787715	9.80
102.dalmatians_tt0211181	tt0211181	nm0486971	5.92
102.dalmatians_tt0211181	tt0211181	nm0141697	59.43
102.dalmatians_tt0211181	tt0211181	nm0371328	51.18
