year	box office rank (orig.)	title	ID	imdb	genres	% screentime, female	% screentime, male
1980	1	Star Wars: Episode V - The Empire Strikes Back	empire_strikes_back	tt0080684	Adventure,Fantasy,Action	16.3399	83.6601
1980	2	9 to 5	nine_to_five	tt0080319	Comedy	75.6939	24.3061
1980	3	Stir Crazy	stir_crazy	tt0081562	Comedy,Crime	4.4430	95.5570
1980	4	Kramer vs. Kramer	kramer_v_kramer	tt0079417	Drama	25.3573	74.6427
1980	5	Any Which Way You Can	any_which_way_you_can	tt0080377	Comedy,Action	21.7485	78.2515
1980	6	Private Benjamin	private_benjamin_fs	tt0081375	Comedy,War	67.0896	32.9104
1980	7	Coal Miner's Daughter	coal_miners_daughter	tt0080549	Music,Drama,Biography	53.2657	46.7343
1980	8	Smokey and the Bandit II	smokey_and_the_bandit_2	tt0081529	Comedy,Adventure,Action	15.9819	84.0181
1980	9	The Blues Brothers	blues_brothers	tt0080455	Comedy,Adventure,Action	12.1108	87.8892
1980	10	Ordinary People	ordinary_people	tt0081283	Drama	29.4419	70.5581
1980	11	Popeye	popeye	tt0081353	Family,Comedy,Adventure	21.3851	78.6149
1980	12	The Shining	shining	tt0081505	Drama,Horror	23.3091	76.6909
1980	13	Cheech and Chong's Next Movie	cheech_and_chongs_next_movie	tt0080520	Comedy,Sci-Fi,Crime	14.5019	85.4981
1980	14	Caddyshack	caddyshack	tt0080487	Sport,Comedy	14.2893	85.7107
1980	15	Friday the 13th	friday_the_13th	tt0080761	Thriller,Mystery,Horror	62.0251	37.9749
1980	16	Brubaker	brubaker	tt0080474	Drama,Crime	5.6203	94.3797
1980	17	The Jazz Singer	jazz_singer	tt0080948	Music,Drama,Romance	25.6930	74.3070
1980	18	Flash Gordon	flash_gordon	tt0080745	Adventure,Sci-Fi,Action	25.6505	74.3495
1980	19	Bronco Billy	bronco_billy	tt0080472	Comedy,Adventure,Action	23.4731	76.5269
1980	20	Raging Bull	raging_bull	tt0081398	Sport,Drama,Biography	12.1631	87.8369
1980	21	Xanadu	xanadu	tt0081777	Romance,Musical,Fantasy	27.5682	72.4318
1980	22	American Gigolo	american_gigolo	tt0080365	Drama,Mystery,Crime	23.7051	76.2949
1980	23	My Bodyguard	my_bodyguard	tt0081207	Family,Comedy,Drama	19.2687	80.7313
1980	24	Fame	fame	tt0080716	Music,Drama,Musical	43.4171	56.5829
1980	25	Altered States	altered_states	tt0080360	Thriller,Sci-Fi,Horror	22.2214	77.7786
1980	26	Honeysuckle Rose	honeysuckle.ros_tt0080888	tt0080888	Music,Drama,Romance	40.6347	59.3653
1980	27	Hero at Large	hero.at.large_tt0080863	tt0080863	Comedy,Romance	20.7208	79.2792
1980	28	The Long Riders	long.riders_tt0081071	tt0081071	Western,Biography,Crime	13.6260	86.3740
1980	29	The Island	island_tt0080934	tt0080934	Adventure,Drama,Action	0.0000	100.0000
1980	30	Nude Bomb, The	nude.bomb_tt0081249	tt0081249	Comedy,Crime,Action	8.8259	91.1741
1980	31	Oh, God! Book II	oh.god.book.ii_tt0081268	tt0081268	Comedy,Fantasy	52.4838	47.5162
1980	32	The Competition	competition_tt0080556	tt0080556	Music,Drama,Romance	44.7331	55.2669
1980	33	Wholly Moses!	wholly.moses_tt0081751	tt0081751	Comedy,Fantasy	12.3426	87.6574
1980	34	The Last Married Couple in America	last.married_tt0081032	tt0081032	Comedy	38.6350	61.3650
1980	35	First Family	first.family_tt0080739	tt0080739	Comedy	12.9792	87.0208
1980	36	The Fiendish Plot of Dr. Fu Manchu	fiendish.plot_tt0080731	tt0080731	Comedy,Fantasy,Crime	10.2013	89.7987
1980	37	Stardust Memories	stardust.memori_tt0081554	tt0081554	Comedy,Drama	50.3606	49.6394
1980	38	Somewhere in Time	somewhere.in.ti_tt0081534	tt0081534	Romance,Drama,Fantasy	29.1837	70.8163
1980	39	The Formula	formula_tt0080754	tt0080754	Thriller,Crime	18.1000	81.9000
1980	40	Battle Creek Brawl	battle.creek.br_tt0080436	tt0080436	Comedy,Crime,Action	11.7103	88.2897
1980	41	The Awakening	awakening_tt0080402	tt0080402	Horror	45.5868	54.4132
1980	42	Foxes	foxes_tt0080756	tt0080756	Drama	81.7100	18.2900
1980	43	Where the Buffalo Roam	where.the.buffa_tt0081748	tt0081748	Comedy,Biography	3.4308	96.5692
1980	45	Motel Hell	motel.hell_tt0081184	tt0081184	Comedy,Thriller,Horror	58.7830	41.2170
1980	46	Little Miss Marker	little.miss.mar_tt0081063	tt0081063	Comedy,Drama,Romance	17.2138	82.7862
1980	47	Oh Heavenly Dog	oh.heavenly.dog_tt0081269	tt0081269	Comedy,Fantasy,Crime	29.8366	70.1634
1980	49	In God We Trust (or Gimme That Prime Time Religion)	in.god.we.trust_tt0080917	tt0080917	Comedy	19.4520	80.5480
1980	50	He Knows You're Alone	he.knows_tt0080850	tt0080850	Thriller,Horror	65.9487	34.0513
