movie_id	year	pct_protagonist_female	pct_antagonist_female	pct_protagonist_male	pct_antagonist_male
a.boy.named.cha_tt0064107	1969	0.00	100.00	100.00	0.00
a.bugs.life_tt0120623	1998	100.00	0.00	22.42	77.58
a.christmas.car_tt1067106	2009			100.00	0.00
a.goofy.movie_tt0113198	1995	100.00	0.00	92.01	7.99
abominable_tt6324278	2019	82.46	17.54	89.55	10.45
addams.family.2_tt11125620	2021	100.00	0.00	80.80	19.20
addams.family_tt1620981	2019	75.59	24.41	100.00	0.00
aladdin_tt0103639	1992	100.00	0.00	73.89	26.11
alice.in.wonder_tt0043274	1951	85.55	14.45	0.00	100.00
alvin.and.the.c_tt0952640	2007			100.00	0.00
alvin.and.the.c_tt1231580	2009	100.00	0.00	100.00	0.00
alvin.and.the.c_tt1615918	2011	100.00	0.00	100.00	0.00
an.american.tai_tt0090633	1986	100.00	0.00	94.87	5.13
anastasia_tt0118617	1997	100.00	0.00	80.36	19.64
angry.birds.mov_tt1985949	2016			75.32	24.68
antz_tt0120587	1998	100.00	0.00	74.16	25.84
atlantis.the.lo_tt0230011	2001	78.54	21.46	85.53	14.47
bad.guys.2_tt30017619	2025	59.94	40.06	100.00	0.00
bad.guys_tt8115900	2022	100.00	0.00	89.55	10.45
bambi_tt0034492	1942	100.00	0.00	100.00	0.00
barnyard_tt0414853	2006	100.00	0.00	92.26	7.74
beauty.and.the._tt0101414	1991	100.00	0.00	76.79	23.21
beavis.and.butt_tt0115641	1996	0.00	100.00	79.24	20.76
bedknobs.and.br_tt0066817	1971			0.00	100.00
bee.movie_tt0389790	2007	100.00	0.00	84.50	15.50
beowulf_tt0442933	2007	0.00	100.00	94.81	5.19
big.hero.6_tt2245084	2014	100.00	0.00	94.04	5.96
black.cauldron_tt0088814	1985	100.00	0.00	93.73	6.27
bobs.burgers.mo_tt7466442	2022	100.00	0.00	100.00	0.00
bolt_tt0397892	2008	100.00	0.00	87.62	12.38
boss.baby.2.fam_tt6932874	2021	100.00	0.00	95.94	4.06
boss.baby_tt3874544	2017			94.48	5.52
brave_tt1217209	2012	100.00	0.00		
brother.bear_tt0328880	2003	100.00	0.00	81.12	18.88
captain.underpa_tt2091256	2017	100.00	0.00	85.47	14.53
care.bears.movi_tt0088885	1985	97.51	2.49	64.23	35.77
cars.2_tt1216475	2011	100.00	0.00	82.56	17.44
cars.3_tt3606752	2017	100.00	0.00	83.03	16.97
cars_tt0317219	2006	100.00	0.00	100.00	0.00
chicken.little_tt0371606	2005	100.00	0.00	100.00	0.00
chicken.run_tt0120630	2000	83.19	16.81	85.09	14.91
cinderella_tt0042332	1950	57.53	42.47	73.70	26.30
cloudy.with.a.c_tt0844471	2009	100.00	0.00	89.71	10.29
cloudy.with.a.c_tt1985966	2013	70.70	29.30	83.41	16.59
coco_tt2380307	2017			88.96	11.04
coraline_tt0327597	2009	90.80	9.20	100.00	0.00
corpse.bride_tt0121164	2005	100.00	0.00	82.33	17.67
croods.a.new.ag_tt2850386	2020	78.60	21.40	77.23	22.77
croods_tt0481499	2013	100.00	0.00	95.99	4.01
dc.league.of.su_tt8912936	2022	48.39	51.61	95.08	4.92
despicable.me.2_tt1690953	2013	100.00	0.00	89.40	10.60
despicable.me.3_tt3469046	2017	95.84	4.16	85.11	14.89
despicable.me.4_tt7510222	2024	89.72	10.28	82.33	17.67
despicable.me_tt1323594	2010	94.65	5.35	84.08	15.92
dinosaur_tt0130623	2000	100.00	0.00	84.09	15.91
