movie_id	year	pct_protagonist_female	pct_antagonist_female	pct_protagonist_male	pct_antagonist_male
10.cloverfield._tt1179933	2016	100.00	0.00	45.87	54.13
10.things.i.hat_tt0147800	1999	100.00	0.00	79.45	20.55
101_dalmations	1996	57.15	42.85	45.39	54.61
102.dalmatians_tt0211181	2000	53.84	46.16	71.77	28.23
12_monkeys	1996	100.00	0.00	66.92	33.08
13.going.on.30_tt0337563	2004	79.69	20.31	100.00	0.00
1408_tt0450385	2007			100.00	0.00
17.again_tt0974661	2009			92.31	7.69
1917	2020			99.96	0.04
2.guns_tt1272878	2013			75.55	24.45
2010.the.year.w_tt0086837	1984	100.00	0.00	100.00	0.00
2012m	2009	100.00	0.00	69.83	30.17
21_jump_street	2012			83.38	16.62
21_tt0478087	2008			65.26	34.74
22_jump_street	2014	0.00	100.00	96.86	3.14
27.dresses_tt0988595	2008	77.43	22.57	100.00	0.00
2_fast_2_furious_fs	2003			77.78	22.22
3.ninjas_tt0103596	1992			74.02	25.98
300	2007	100.00	0.00	73.38	26.62
300_rise_of_an_empire	2014	20.50	79.50	86.11	13.89
310.to.yuma_tt0381849	2007			48.60	51.40
355_tt8356942	2022	100.00	0.00	0.00	100.00
40_year_old_virgin	2005			100.00	0.00
42_tt0453562	2013			87.67	12.33
48_hours	1983			88.10	11.90
50_first_dates	2004	100.00	0.00	100.00	0.00
8_below	2006			100.00	0.00
8_mile	2002			78.09	21.91
8mm_tt0134273	1999			76.18	23.82
a.bad.moms.chri_tt6359956	2017	55.56	44.44		
a.beautiful.day_tt3224458	2020			88.81	11.19
a.christmas.sto_tt0085334	1983			95.84	4.16
a.civil.action_tt0120633	1999	100.00	0.00	69.57	30.43
a.dogs.purpose_tt1753383	2017			80.83	19.17
a.good.day.to.d_tt1606378	2013	0.00	100.00	70.65	29.35
a.knights.tale_tt0183790	2001			73.09	26.91
a.low.down.dirt_tt0110399	1994	65.71	34.29	62.69	37.31
a.madea.family._tt7054636	2019	100.00	0.00	100.00	0.00
a.nightmare.on._tt0087800	1985	100.00	0.00	0.00	100.00
a.nightmare.on._tt0097981	1989	100.00	0.00	78.94	21.06
a.nightmare.on._tt1179056	2010	100.00	0.00	95.01	4.99
a.passage.to.in_tt0087892	1985	100.00	0.00	73.39	26.61
a.quiet.place.p_tt8332922	2021	100.00	0.00	100.00	0.00
a.river.runs.th_tt0105265	1992			100.00	0.00
a.room.with.a.v_tt0091867	1987	67.60	32.40	54.00	46.00
a.soldiers.stor_tt0088146	1984			45.63	54.37
a.thin.line.bet_tt0117891	1996	0.00	100.00	100.00	0.00
a.walk.in.the.c_tt0114887	1995	100.00	0.00	71.70	28.30
a.wrinkle.in.ti_tt1620680	2018	100.00	0.00	93.67	6.33
about.a.boy_tt0276751	2002			100.00	0.00
